"UniProt_ID"	"Protein_Name"
"932"	"E7FH67"	"Uncharacterized protein"
"933"	"E9QB18"	"Uncharacterized protein"
"934"	"E9QB27"	"Uncharacterized protein"
"935"	"E9QB41"	"Uncharacterized protein"
"936"	"E9QB54"	"Uncharacterized protein"
"937"	"E9QB97"	"Uncharacterized protein"
"938"	"E9QBF0"	"Triosephosphate isomerase"
"939"	"E9QBG3"	"Uncharacterized protein"
"940"	"E9QBM8"	"Uncharacterized protein"
"941"	"E9QBV1"	"Uncharacterized protein"
"942"	"E9QC40"	"Uncharacterized protein"
"943"	"E9QC46"	"Uncharacterized protein"
"944"	"E9QC51"	"Uncharacterized protein"
"945"	"E9QC71"	"Uncharacterized protein"
"946"	"E9QC94"	"Uncharacterized protein"
"947"	"E9QCB1"	"Uncharacterized protein"
"948"	"E9QCI4"	"Uncharacterized protein"
"949"	"E9QCL4"	"Uncharacterized protein"
"950"	"E9QCM0"	"Uncharacterized protein"
"951"	"E9QCM9"	"Uncharacterized protein"
"952"	"E9QCS9"	"Uncharacterized protein"
"953"	"E9QCX2"	"Uncharacterized protein"
"954"	"E9QCX7"	"Enolase"
"955"	"E9QCY4"	"Uncharacterized protein"
"956"	"E9QCZ3"	"Uncharacterized protein"
"957"	"E9QD09"	"Serine/threonine-protein phosphatase"
"958"	"E9QD31"	"Uncharacterized protein"
"959"	"E9QD89"	"Uncharacterized protein"
"960"	"E9QDE5"	"Uncharacterized protein"
"961"	"E9QDE6"	"Uncharacterized protein"
"962"	"E9QDE7"	"Uncharacterized protein"
"963"	"E9QDH8"	"Uncharacterized protein"
"964"	"E9QDI7"	"Uncharacterized protein"
"965"	"E9QDQ2"	"Uncharacterized protein"
"966"	"E9QDS5"	"Uncharacterized protein"
"967"	"E9QDT9"	"Uncharacterized protein"
"968"	"E9QDV7"	"Uncharacterized protein"
"969"	"E9QDY4"	"Uncharacterized protein"
"970"	"E9QE47"	"Uncharacterized protein"
"971"	"E9QE54"	"Uncharacterized protein"
"972"	"E9QEA9"	"Uncharacterized protein"
"973"	"E9QEB1"	"Uncharacterized protein"
"974"	"E9QEB2"	"Uncharacterized protein"
"975"	"E9QED5"	"Uncharacterized protein"
"976"	"E9QEE4"	"Uncharacterized protein"
"977"	"E9QEE8"	"Uncharacterized protein"
"978"	"E9QEM7"	"Uncharacterized protein"
"979"	"E9QEQ1"	"Uncharacterized protein"
"980"	"E9QEU4"	"Uncharacterized protein"
"981"	"E9QEV7"	"Uncharacterized protein"
"982"	"E9QEW9"	"Uncharacterized protein"
"983"	"E9QEX8"	"Uncharacterized protein"
"984"	"E9QEY5"	"Uncharacterized protein"
"985"	"E9QF06"	"Uncharacterized protein"
"986"	"E9QF30"	"Uncharacterized protein"
"987"	"E9QF57"	"Uncharacterized protein"
"988"	"E9QFD8"	"Uncharacterized protein"
"989"	"E9QFE1"	"Uncharacterized protein"
"990"	"E9QFG2"	"Uncharacterized protein"
"991"	"E9QFI5"	"Uncharacterized protein"
"992"	"E9QFJ1"	"Uncharacterized protein"
"993"	"E9QFP7"	"Uncharacterized protein"
"994"	"E9QFU8"	"Branched-chain-amino-acid aminotransferase"
"995"	"E9QFV1"	"Uncharacterized protein"
"996"	"E9QFX0"	"Uncharacterized protein"
"997"	"E9QFY5"	"Uncharacterized protein"
"998"	"E9QG16"	"Uncharacterized protein"
"999"	"E9QG20"	"Uncharacterized protein"
"1000"	"E9QG44"	"Uncharacterized protein"
"1001"	"E9QG66"	"Uncharacterized protein"
"1002"	"E9QG86"	"Uncharacterized protein"
"1003"	"E9QGH1"	"Uncharacterized protein"
"1004"	"E9QGP2"	"Uncharacterized protein"
"1005"	"E9QGP5"	"Uncharacterized protein"
"1006"	"E9QGR6"	"Uncharacterized protein"
"1007"	"E9QGV3"	"Uncharacterized protein"
"1008"	"E9QGW0"	"Uncharacterized protein"
"1009"	"E9QGY6"	"Uncharacterized protein"
"1010"	"E9QH15"	"Uncharacterized protein"
"1011"	"E9QH22"	"Uncharacterized protein"
"1012"	"E9QH31"	"Aldehyde dehydrogenase"
"1013"	"E9QH70"	"Uncharacterized protein"
"1014"	"E9QHB5"	"Uncharacterized protein"
"1015"	"E9QHC2"	"Uncharacterized protein"
"1016"	"E9QHD4"	"Uncharacterized protein"
"1017"	"E9QHD6"	"Uncharacterized protein"
"1018"	"E9QHL6"	"Uncharacterized protein"
"1019"	"E9QHS7"	"Uncharacterized protein"
"1020"	"E9QHX5"	"Histone H2B"
"1021"	"E9QHX8"	"Uncharacterized protein"
"1022"	"E9QHY3"	"Uncharacterized protein"
"1023"	"E9QI17"	"Uncharacterized protein"
"1024"	"E9QI62"	"Uncharacterized protein"
"1025"	"E9QI85"	"Uncharacterized protein"
"1026"	"E9QIE6"	"Uncharacterized protein"
"1027"	"E9QIG3"	"Uncharacterized protein"
"1028"	"E9QIJ3"	"Uncharacterized protein"
"1029"	"E9QIJ6"	"Uncharacterized protein"
"1030"	"E9QIR0"	"Uncharacterized protein"
"1031"	"E9QIX6"	"Uncharacterized protein"
"1032"	"E9QIY0"	"Uncharacterized protein"
"1033"	"E9QJ40"	"Uncharacterized protein"
"1034"	"E9QJF8"	"Uncharacterized protein"
"1035"	"E9QJJ6"	"Uncharacterized protein"
"1036"	"E9QJL4"	"Uncharacterized protein"
"1037"	"E9QJP3"	"Uncharacterized protein"
"1038"	"F1Q4M0"	"Serine/threonine-protein phosphatase"
"1039"	"F1Q4M1"	"Uncharacterized protein"
"1040"	"F1Q4M7"	"Uncharacterized protein"
"1041"	"F1Q4N4"	"Uncharacterized protein"
"1042"	"F1Q4N7"	"Uncharacterized protein"
"1043"	"F1Q4Q8"	"Uncharacterized protein"
"1044"	"F1Q4S6"	"Uncharacterized protein"
"1045"	"F1Q4X1"	"Uncharacterized protein"
"1046"	"F1Q4X5"	"Uncharacterized protein"
"1047"	"F1Q510"	"Uncharacterized protein"
"1048"	"F1Q555"	"Uncharacterized protein"
"1049"	"F1Q5A2"	"Microtubule-associated protein"
"1050"	"F1Q5B5"	"Alkaline phosphatase"
"1051"	"F1Q5F2"	"Uncharacterized protein"
"1052"	"F1Q5H4"	"Uncharacterized protein"
"1053"	"F1Q5S2"	"Uncharacterized protein"
"1054"	"F1Q615"	"Uncharacterized protein"
"1055"	"F1Q688"	"Uncharacterized protein"
"1056"	"F1Q6B2"	"Uncharacterized protein"
"1057"	"F1Q6L1"	"Uncharacterized protein"
"1058"	"F1Q6P3"	"Uncharacterized protein (Fragment)"
"1059"	"F1Q6S6"	"Uncharacterized protein (Fragment)"
"1060"	"F1Q6U3"	"Uncharacterized protein (Fragment)"
"1061"	"F1Q6Y1"	"Uncharacterized protein"
"1062"	"F1Q6Z9"	"Uncharacterized protein (Fragment)"
"1063"	"F1Q713"	"Uncharacterized protein"
"1064"	"F1Q727"	"Uncharacterized protein (Fragment)"
"1065"	"F1Q740"	"Uncharacterized protein"
"1066"	"F1Q768"	"Uncharacterized protein"
"1067"	"F1Q769"	"Uncharacterized protein (Fragment)"
"1068"	"F1Q783"	"Uncharacterized protein (Fragment)"
"1069"	"F1Q7F9"	"Uncharacterized protein"
"1070"	"F1Q7G1"	"Uncharacterized protein"
"1071"	"F1Q7G9"	"Uncharacterized protein"
"1072"	"F1Q7I4"	"Uncharacterized protein (Fragment)"
"1073"	"F1Q805"	"Uncharacterized protein"
"1074"	"F1Q845"	"Uncharacterized protein"
"1075"	"F1Q884"	"Uncharacterized protein"
"1076"	"F1Q898"	"Uncharacterized protein"
"1077"	"F1Q8A5"	"Uncharacterized protein"
"1078"	"F1Q8B0"	"Uncharacterized protein"
"1079"	"F1Q8B3"	"Uncharacterized protein (Fragment)"
"1080"	"F1Q8C2"	"Uncharacterized protein (Fragment)"
"1081"	"F1Q8J9"	"Uncharacterized protein"
"1082"	"F1Q8K1"	"Uncharacterized protein (Fragment)"
"1083"	"F1Q8P0"	"Uncharacterized protein"
"1084"	"F1Q8Q8"	"Uncharacterized protein"
"1085"	"F1Q8V7"	"Uncharacterized protein"
"1086"	"F1Q8W8"	"Uncharacterized protein"
"1087"	"F1Q8X5"	"Uncharacterized protein"
"1088"	"F1Q8Y8"	"DNA topoisomerase 2"
"1089"	"F1Q924"	"Uncharacterized protein (Fragment)"
"1090"	"F1Q935"	"Uncharacterized protein (Fragment)"
"1091"	"F1Q947"	"Uncharacterized protein"
"1092"	"F1Q9D1"	"Uncharacterized protein"
"1093"	"F1Q9D7"	"Uncharacterized protein"
"1094"	"F1Q9D8"	"Uncharacterized protein"
"1095"	"F1Q9K4"	"DNA-directed RNA polymerase"
"1096"	"F1Q9N0"	"Uncharacterized protein (Fragment)"
"1097"	"F1Q9P4"	"Uncharacterized protein"
"1098"	"F1Q9R1"	"Uncharacterized protein"
"1099"	"F1Q9T9"	"Uncharacterized protein (Fragment)"
"1100"	"F1Q9W0"	"Uncharacterized protein (Fragment)"
"1101"	"F1Q9Y3"	"Uncharacterized protein (Fragment)"
"1102"	"F1Q9Z1"	"Uncharacterized protein (Fragment)"
"1103"	"F1Q9Z2"	"Uncharacterized protein"
"1104"	"F1QA20"	"Uncharacterized protein"
"1105"	"F1QAA0"	"Uncharacterized protein"
"1106"	"F1QAC1"	"Uncharacterized protein (Fragment)"
"1107"	"F1QAI1"	"Uncharacterized protein"
"1108"	"F1QAQ4"	"Uncharacterized protein (Fragment)"
"1109"	"F1QAU9"	"Uncharacterized protein (Fragment)"
"1110"	"F1QAV1"	"Uncharacterized protein (Fragment)"
"1111"	"F1QAX1"	"Malic enzyme (Fragment)"
"1112"	"F1QAZ9"	"Uncharacterized protein"
"1113"	"F1QB07"	"Uncharacterized protein (Fragment)"
"1114"	"F1QB18"	"Uncharacterized protein (Fragment)"
"1115"	"F1QB21"	"Uncharacterized protein"
"1116"	"F1QB42"	"Uncharacterized protein (Fragment)"
"1117"	"F1QB50"	"Uncharacterized protein"
"1118"	"F1QB75"	"Uncharacterized protein (Fragment)"
"1119"	"F1QB90"	"Uncharacterized protein"
"1120"	"F1QBA6"	"Uncharacterized protein (Fragment)"
"1121"	"F1QBA8"	"Uncharacterized protein (Fragment)"
"1122"	"F1QBH7"	"Nuclear factor 1"
"1123"	"F1QBM5"	"Uncharacterized protein (Fragment)"
"1124"	"F1QBP1"	"Uncharacterized protein"
"1125"	"F1QBQ8"	"Uncharacterized protein"
"1126"	"F1QBS0"	"Uncharacterized protein"
"1127"	"F1QBS3"	"Uncharacterized protein"
"1128"	"F1QBS7"	"Uncharacterized protein"
"1129"	"F1QBT9"	"Uncharacterized protein"
"1130"	"F1QBW7"	"Enolase (Fragment)"
"1131"	"F1QBZ6"	"Uncharacterized protein"
"1132"	"F1QC43"	"Uncharacterized protein"
"1133"	"F1QC46"	"Uncharacterized protein (Fragment)"
"1134"	"F1QC64"	"Uncharacterized protein (Fragment)"
"1135"	"F1QC70"	"Fructose-bisphosphate aldolase"
"1136"	"F1QC84"	"Uncharacterized protein"
"1137"	"F1QCE6"	"Uncharacterized protein (Fragment)"
"1138"	"F1QCH5"	"Uncharacterized protein"
"1139"	"F1QCJ7"	"Uncharacterized protein (Fragment)"
"1140"	"F1QCK4"	"Uncharacterized protein"
"1141"	"F1QCN0"	"Uncharacterized protein"
"1142"	"F1QCR7"	"Uncharacterized protein"
"1143"	"F1QCR8"	"Uncharacterized protein"
"1144"	"F1QCS0"	"Uncharacterized protein (Fragment)"
"1145"	"F1QCT0"	"Uncharacterized protein"
"1146"	"F1QCT8"	"Uncharacterized protein (Fragment)"
"1147"	"F1QCU3"	"Uncharacterized protein (Fragment)"
"1148"	"F1QCV0"	"Uncharacterized protein (Fragment)"
"1149"	"F1QCV3"	"Glutamine synthetase"
"1150"	"F1QD43"	"Uncharacterized protein (Fragment)"
"1151"	"F1QD56"	"Uncharacterized protein"
"1152"	"F1QD79"	"Uncharacterized protein"
"1153"	"F1QD81"	"Uncharacterized protein"
"1154"	"F1QDL1"	"Uncharacterized protein"
"1155"	"F1QDR1"	"Uncharacterized protein (Fragment)"
"1156"	"F1QDY2"	"Uncharacterized protein"
"1157"	"F1QDY7"	"Uncharacterized protein (Fragment)"
"1158"	"F1QE30"	"Uncharacterized protein"
"1159"	"F1QE62"	"Uncharacterized protein"
"1160"	"F1QED3"	"Uncharacterized protein (Fragment)"
"1161"	"F1QED6"	"Uncharacterized protein (Fragment)"
"1162"	"F1QEG2"	"Uncharacterized protein"
"1163"	"F1QEG3"	"Uncharacterized protein"
"1164"	"F1QET7"	"Uncharacterized protein"
"1165"	"F1QEU7"	"Uncharacterized protein (Fragment)"
"1166"	"F1QEW4"	"Uncharacterized protein"
"1167"	"F1QEY8"	"Uncharacterized protein"
"1168"	"F1QEZ0"	"Uncharacterized protein"
"1169"	"F1QF00"	"Uncharacterized protein"
"1170"	"F1QF30"	"Uncharacterized protein"
"1171"	"F1QF63"	"Uncharacterized protein"
"1172"	"F1QF75"	"Uncharacterized protein"
"1173"	"F1QF86"	"Serine/threonine-protein phosphatase"
"1174"	"F1QFA0"	"Uncharacterized protein"
"1175"	"F1QFC0"	"Uncharacterized protein"
"1176"	"F1QFF4"	"Uncharacterized protein (Fragment)"
"1177"	"F1QFF6"	"Uncharacterized protein"
"1178"	"F1QFG4"	"Uncharacterized protein"
"1179"	"F1QFJ8"	"Uncharacterized protein"
"1180"	"F1QFN3"	"Uncharacterized protein (Fragment)"
"1181"	"F1QFS5"	"Uncharacterized protein"
"1182"	"F1QFV6"	"Uncharacterized protein"
"1183"	"F1QFW5"	"Uncharacterized protein (Fragment)"
"1184"	"F1QFX9"	"Uncharacterized protein"
"1185"	"F1QG70"	"Uncharacterized protein"
"1186"	"F1QGC3"	"Uncharacterized protein"
"1187"	"F1QGK4"	"Uncharacterized protein (Fragment)"
"1188"	"F1QGN3"	"Uncharacterized protein"
"1189"	"F1QGP5"	"Uncharacterized protein (Fragment)"
"1190"	"F1QGP8"	"Uncharacterized protein"
"1191"	"F1QGT2"	"Uncharacterized protein (Fragment)"
"1192"	"F1QGW6"	"Uncharacterized protein"
"1193"	"F1QH31"	"Uncharacterized protein"
"1194"	"F1QH80"	"Uncharacterized protein"
"1195"	"F1QH91"	"Uncharacterized protein"
"1196"	"F1QH94"	"Uncharacterized protein"
"1197"	"F1QH98"	"Uncharacterized protein (Fragment)"
"1198"	"F1QH99"	"Uncharacterized protein"
"1199"	"F1QHB5"	"Uncharacterized protein (Fragment)"
"1200"	"F1QHE5"	"Uncharacterized protein"
"1201"	"F1QHE9"	"Uncharacterized protein (Fragment)"
"1202"	"F1QHJ3"	"Uncharacterized protein"
"1203"	"F1QHK5"	"Uncharacterized protein (Fragment)"
"1204"	"F1QHT9"	"Uncharacterized protein"
"1205"	"F1QI09"	"Uncharacterized protein (Fragment)"
"1206"	"F1QI29"	"Uncharacterized protein (Fragment)"
"1207"	"F1QI74"	"Elongation factor 1-alpha"
"1208"	"F1QIB6"	"Uncharacterized protein (Fragment)"
"1209"	"F1QIC6"	"Uncharacterized protein"
"1210"	"F1QIC8"	"Uncharacterized protein (Fragment)"
"1211"	"F1QIG4"	"Uncharacterized protein"
"1212"	"F1QIL6"	"Uncharacterized protein"
"1213"	"F1QIQ4"	"Uncharacterized protein (Fragment)"
"1214"	"F1QIR4"	"Uncharacterized protein"
"1215"	"F1QIY0"	"Uncharacterized protein (Fragment)"
"1216"	"F1QJ07"	"Uncharacterized protein"
"1217"	"F1QJ18"	"Uncharacterized protein"
"1218"	"F1QJ44"	"Uncharacterized protein (Fragment)"
"1219"	"F1QJ75"	"Uncharacterized protein"
"1220"	"F1QJ99"	"Uncharacterized protein (Fragment)"
"1221"	"F1QJA4"	"Uncharacterized protein (Fragment)"
"1222"	"F1QJC0"	"Uncharacterized protein"
"1223"	"F1QJE5"	"Uncharacterized protein"
"1224"	"F1QJI7"	"Uncharacterized protein (Fragment)"
"1225"	"F1QJV7"	"Uncharacterized protein"
"1226"	"F1QJZ0"	"Uncharacterized protein (Fragment)"
"1227"	"F1QJZ3"	"Uncharacterized protein"
"1228"	"F1QK04"	"Uncharacterized protein"
"1229"	"F1QK92"	"Uncharacterized protein"
"1230"	"F1QK93"	"Uncharacterized protein"
"1231"	"F1QKH2"	"Uncharacterized protein (Fragment)"
"1232"	"F1QKH9"	"Uncharacterized protein"
"1233"	"F1QKN4"	"Uncharacterized protein"
"1234"	"F1QKS4"	"Uncharacterized protein"
"1235"	"F1QL01"	"Uncharacterized protein"
"1236"	"F1QL05"	"Protein-L-isoaspartate O-methyltransferase"
"1237"	"F1QL44"	"Uncharacterized protein"
"1238"	"F1QL62"	"Uncharacterized protein (Fragment)"
"1239"	"F1QLM7"	"Uncharacterized protein"
"1240"	"F1QLR1"	"Uncharacterized protein"
"1241"	"F1QLR7"	"Uncharacterized protein"
"1242"	"F1QLS3"	"Uncharacterized protein (Fragment)"
"1243"	"F1QLU3"	"Uncharacterized protein"
"1244"	"F1QLW6"	"Uncharacterized protein"
"1245"	"F1QLZ8"	"Uncharacterized protein"
"1246"	"F1QM13"	"Uncharacterized protein"
"1247"	"F1QM20"	"Uncharacterized protein"
"1248"	"F1QM42"	"Uncharacterized protein (Fragment)"
"1249"	"F1QM43"	"Uncharacterized protein"
"1250"	"F1QMB7"	"Uncharacterized protein"
"1251"	"F1QMF2"	"Uncharacterized protein"
"1252"	"F1QMH0"	"Uncharacterized protein"
"1253"	"F1QML8"	"Uncharacterized protein"
"1254"	"F1QMP6"	"Uncharacterized protein (Fragment)"
"1255"	"F1QMR7"	"Uncharacterized protein (Fragment)"
"1256"	"F1QMY2"	"Uncharacterized protein"
"1257"	"F1QN16"	"Uncharacterized protein"
"1258"	"F1QN45"	"Uncharacterized protein (Fragment)"
"1259"	"F1QN63"	"Glutathione S-transferase"
"1260"	"F1QN76"	"Ribosomal protein L18 (Fragment)"
"1261"	"F1QNB3"	"Uncharacterized protein (Fragment)"
"1262"	"F1QNE0"	"Uncharacterized protein"
"1263"	"F1QNG4"	"Uncharacterized protein"
"1264"	"F1QNH3"	"Uncharacterized protein (Fragment)"
"1265"	"F1QNH4"	"Uncharacterized protein"
"1266"	"F1QNH8"	"Uncharacterized protein (Fragment)"
"1267"	"F1QNI9"	"Calsequestrin"
"1268"	"F1QNL5"	"Uncharacterized protein"
"1269"	"F1QNS0"	"Uncharacterized protein"
"1270"	"F1QNU2"	"Uncharacterized protein"
"1271"	"F1QNZ9"	"Uncharacterized protein"
"1272"	"F1QP17"	"Uncharacterized protein"
"1273"	"F1QP73"	"Uncharacterized protein (Fragment)"
"1274"	"F1QPG2"	"Uncharacterized protein"
"1275"	"F1QPI0"	"Uncharacterized protein (Fragment)"
"1276"	"F1QPT1"	"Uncharacterized protein"
"1277"	"F1QPX5"	"Uncharacterized protein (Fragment)"
"1278"	"F1QQ28"	"Uncharacterized protein"
"1279"	"F1QQE5"	"Uncharacterized protein"
"1280"	"F1QQH9"	"Uncharacterized protein (Fragment)"
"1281"	"F1QQQ3"	"Uncharacterized protein (Fragment)"
"1282"	"F1QQQ5"	"Uncharacterized protein"
"1283"	"F1QQQ6"	"Uncharacterized protein"
"1284"	"F1QQY9"	"Uncharacterized protein (Fragment)"
"1285"	"F1QQZ5"	"Uncharacterized protein (Fragment)"
"1286"	"F1QR17"	"Uncharacterized protein"
"1287"	"F1QR23"	"Uncharacterized protein"
"1288"	"F1QR67"	"Uncharacterized protein (Fragment)"
"1289"	"F1QRD9"	"Ubiquitin carrier protein"
"1290"	"F1QRM9"	"Uncharacterized protein"
"1291"	"F1QRN7"	"Uncharacterized protein (Fragment)"
"1292"	"F1QRP8"	"Uncharacterized protein"
"1293"	"F1QRQ2"	"Uncharacterized protein"
"1294"	"F1QRW5"	"Uncharacterized protein (Fragment)"
"1295"	"F1QRX4"	"Uncharacterized protein"
"1296"	"F1QRY2"	"Uncharacterized protein"
"1297"	"F1QS28"	"Uncharacterized protein"
"1298"	"F1QS65"	"Uncharacterized protein (Fragment)"
"1299"	"F1QS73"	"Uncharacterized protein (Fragment)"
"1300"	"F1QS91"	"Uncharacterized protein"
"1301"	"F1QSB8"	"Uncharacterized protein"
"1302"	"F1QSE0"	"Pyruvate kinase"
"1303"	"F1QSE1"	"Uncharacterized protein"
"1304"	"F1QSI4"	"Uncharacterized protein"
"1305"	"F1QSI7"	"Uncharacterized protein"
"1306"	"F1QSJ9"	"Uncharacterized protein (Fragment)"
"1307"	"F1QSK1"	"Uncharacterized protein"
"1308"	"F1QSL9"	"Guanylate cyclase"
"1309"	"F1QSM7"	"Uncharacterized protein (Fragment)"
"1310"	"F1QSP5"	"Uncharacterized protein"
"1311"	"F1QSP8"	"Uncharacterized protein"
"1312"	"F1QSR3"	"Uncharacterized protein"
"1313"	"F1QSU4"	"Uncharacterized protein"
"1314"	"F1QSU9"	"Uncharacterized protein"
"1315"	"F1QSY7"	"Uncharacterized protein"
"1316"	"F1QT13"	"Uncharacterized protein (Fragment)"
"1317"	"F1QT52"	"Uncharacterized protein (Fragment)"
"1318"	"F1QT63"	"Uncharacterized protein"
"1319"	"F1QTB5"	"Uncharacterized protein"
"1320"	"F1QTF0"	"Uncharacterized protein"
"1321"	"F1QTP9"	"Uncharacterized protein (Fragment)"
"1322"	"F1QTQ1"	"Uncharacterized protein (Fragment)"
"1323"	"F1QTQ2"	"Uncharacterized protein"
"1324"	"F1QTR0"	"Uncharacterized protein"
"1325"	"F1QTS3"	"Uncharacterized protein (Fragment)"
"1326"	"F1QTS9"	"Uncharacterized protein"
"1327"	"F1QTU1"	"Uncharacterized protein"
"1328"	"F1QU20"	"Uncharacterized protein"
"1329"	"F1QU55"	"Uncharacterized protein"
"1330"	"F1QU71"	"Uncharacterized protein (Fragment)"
"1331"	"F1QUA3"	"Uncharacterized protein"
"1332"	"F1QUN8"	"Uncharacterized protein"
"1333"	"F1QUP1"	"Uncharacterized protein"
"1334"	"F1QUR3"	"Uncharacterized protein"
"1335"	"F1QUS3"	"Uncharacterized protein"
"1336"	"F1QUS4"	"Integrin beta"
"1337"	"F1QUS9"	"Uncharacterized protein"
"1338"	"F1QUU2"	"Uncharacterized protein"
"1339"	"F1QUU4"	"Uncharacterized protein"
"1340"	"F1QUW4"	"Uncharacterized protein"
"1341"	"F1QV16"	"Uncharacterized protein"
"1342"	"F1QV19"	"Uncharacterized protein"
"1343"	"F1QV28"	"Uncharacterized protein"
"1344"	"F1QV62"	"Uncharacterized protein (Fragment)"
"1345"	"F1QVD2"	"Uncharacterized protein"
"1346"	"F1QVD7"	"Uncharacterized protein"
"1347"	"F1QVE4"	"Uncharacterized protein (Fragment)"
"1348"	"F1QVH8"	"Uncharacterized protein"
"1349"	"F1QVI7"	"Uncharacterized protein"
"1350"	"F1QVJ7"	"Uncharacterized protein"
"1351"	"F1QVS0"	"Uncharacterized protein (Fragment)"
"1352"	"F1QVT8"	"Uncharacterized protein"
"1353"	"F1QVX3"	"Uncharacterized protein"
"1354"	"F1QW05"	"Uncharacterized protein"
"1355"	"F1QW57"	"Uncharacterized protein (Fragment)"
"1356"	"F1QW82"	"Uncharacterized protein"
"1357"	"F1QWC8"	"Uncharacterized protein (Fragment)"
"1358"	"F1QWD0"	"Uncharacterized protein"
"1359"	"F1QWE6"	"Uncharacterized protein (Fragment)"
"1360"	"F1QWG3"	"Uridine kinase"
"1361"	"F1QWJ6"	"Uncharacterized protein"
"1362"	"F1QWM3"	"Ubiquitin carrier protein"
"1363"	"F1QX07"	"Uncharacterized protein"
"1364"	"F1QX74"	"Uncharacterized protein"
"1365"	"F1QXK3"	"Uncharacterized protein"
"1366"	"F1QXM5"	"Uncharacterized protein"
"1367"	"F1QXP5"	"Uncharacterized protein"
"1368"	"F1QXP8"	"Uncharacterized protein"
"1369"	"F1QXY5"	"Uncharacterized protein (Fragment)"
"1370"	"F1QXY8"	"DNA-directed RNA polymerase"
"1371"	"F1QY00"	"Glycylpeptide N-tetradecanoyltransferase"
"1372"	"F1QY24"	"Uncharacterized protein"
"1373"	"F1QY26"	"Uncharacterized protein (Fragment)"
"1374"	"F1QY27"	"Uncharacterized protein"
"1375"	"F1QY34"	"Uncharacterized protein"
"1376"	"F1QYB1"	"Uncharacterized protein (Fragment)"
"1377"	"F1QYB9"	"Uncharacterized protein"
"1378"	"F1QYC7"	"Uncharacterized protein"
"1379"	"F1QYE3"	"Uncharacterized protein"
"1380"	"F1QYF1"	"Uncharacterized protein"
"1381"	"F1QYK9"	"Uncharacterized protein"
"1382"	"F1QYN0"	"Uncharacterized protein (Fragment)"
"1383"	"F1QYN7"	"Uncharacterized protein"
"1384"	"F1QYP0"	"Uncharacterized protein (Fragment)"
"1385"	"F1QYU7"	"S-adenosylmethionine synthase"
"1386"	"F1QYW8"	"Uncharacterized protein"
"1387"	"F1QYX8"	"Uncharacterized protein"
"1388"	"F1QZ45"	"Uncharacterized protein (Fragment)"
"1389"	"F1QZA4"	"Uncharacterized protein"
"1390"	"F1QZA5"	"Uncharacterized protein"
"1391"	"F1QZA7"	"Uncharacterized protein (Fragment)"
"1392"	"F1QZG1"	"Uncharacterized protein"
"1393"	"F1QZL6"	"Glucose-6-phosphate isomerase"
"1394"	"F1QZM2"	"Uncharacterized protein"
"1395"	"F1QZM5"	"Uncharacterized protein"
"1396"	"F1QZX2"	"Uncharacterized protein (Fragment)"
"1397"	"F1QZZ8"	"Uncharacterized protein (Fragment)"
"1398"	"F1R008"	"Uncharacterized protein"
"1399"	"F1R070"	"Uncharacterized protein"
"1400"	"F1R0A9"	"Uncharacterized protein"
"1401"	"F1R0C2"	"Uncharacterized protein (Fragment)"
"1402"	"F1R0C3"	"Uncharacterized protein (Fragment)"
"1403"	"F1R0H8"	"Uncharacterized protein"
"1404"	"F1R0M1"	"Uncharacterized protein (Fragment)"
"1405"	"F1R0Z8"	"Uncharacterized protein"
"1406"	"F1R107"	"Uncharacterized protein (Fragment)"
"1407"	"F1R108"	"Uncharacterized protein"
"1408"	"F1R116"	"Uncharacterized protein"
"1409"	"F1R118"	"Uncharacterized protein"
"1410"	"F1R184"	"Uncharacterized protein"
"1411"	"F1R193"	"Uncharacterized protein"
"1412"	"F1R199"	"Uncharacterized protein (Fragment)"
"1413"	"F1R1C9"	"Uncharacterized protein"
"1414"	"F1R1J3"	"Uncharacterized protein (Fragment)"
"1415"	"F1R1J9"	"Uncharacterized protein"
"1416"	"F1R1M3"	"Uncharacterized protein (Fragment)"
"1417"	"F1R1R7"	"Uncharacterized protein"
"1418"	"F1R1X9"	"Uncharacterized protein"
"1419"	"F1R221"	"Uncharacterized protein (Fragment)"
"1420"	"F1R223"	"Uncharacterized protein (Fragment)"
"1421"	"F1R264"	"Uncharacterized protein"
"1422"	"F1R2G5"	"Uncharacterized protein"
"1423"	"F1R2I8"	"Uncharacterized protein (Fragment)"
"1424"	"F1R2Q8"	"Uncharacterized protein"
"1425"	"F1R2R3"	"Uncharacterized protein"
"1426"	"F1R2V0"	"Uncharacterized protein (Fragment)"
"1427"	"F1R2W1"	"Uncharacterized protein"
"1428"	"F1R2X6"	"Uncharacterized protein (Fragment)"
"1429"	"F1R300"	"Uncharacterized protein"
"1430"	"F1R314"	"Uncharacterized protein"
"1431"	"F1R319"	"Uncharacterized protein"
"1432"	"F1R348"	"Uncharacterized protein (Fragment)"
"1433"	"F1R350"	"Uncharacterized protein"
"1434"	"F1R3F7"	"Uncharacterized protein"
"1435"	"F1R3G8"	"Uncharacterized protein"
"1436"	"F1R3I8"	"Uncharacterized protein (Fragment)"
"1437"	"F1R3I9"	"Uncharacterized protein (Fragment)"
"1438"	"F1R3J0"	"Uncharacterized protein"
"1439"	"F1R3S5"	"Uncharacterized protein"
"1440"	"F1R3W7"	"Uncharacterized protein"
"1441"	"F1R3X6"	"Uncharacterized protein"
"1442"	"F1R443"	"Uncharacterized protein"
